Drug_Name,Interactions
Insulin glargine,"Drospirenone, Articaine, Dabrafenib, Buserelin, Norethisterone, Mecasermin, Fosamprenavir, Sunitinib, Danazol, Erythromycin, Pasireotide, Saxagliptin, Etacrynic acid, Arsenic trioxide, Oxandrolone, Cyproterone acetate, Insulin detemir, Chlorpropamide, Hydroxyprogesterone caproate, Phenelzine, Metreleptin, Linagliptin, Acetohexamide, Glyburide, Methylprednisolone, Pioglitazone, Nadolol, Quetiapine, Glipizide, Histrelin, Ceritinib, Fludrocortisone, Sulfamethoxazole, Lopinavir, Betamethasone, Dienogest, Ziprasidone, Saquinavir, Sulfadiazine, Methotrimeprazine, Bendroflumethiazide, Corticotropin, Nilotinib, Levonorgestrel, Octreotide, Niacin, Paroxetine, Alogliptin, Rosiglitazone, Dexamethasone, Lurasidone, Temsirolimus, Epinephrine, Pipotiazine, Indapamide, Lanreotide, Indinavir, Glimepiride, Sitagliptin, Sparfloxacin, Iloperidone, Risperidone, Triptorelin, Pentamidine, Insulin degludec, Sulfisoxazole, Furosemide, Aripiprazole, Repaglinide, Triamcinolone, Trimethoprim, Desogestrel, Estrone sulfate, Quinine, Edetic acid, Prednisolone, Progesterone, Stanolone, Metformin, Tolazamide, Exenatide, Insulin aspart, Olanzapine, Darunavir, Chlorthalidone, Chlorothiazide, Everolimus, Atazanavir, Tolbutamide, Trichlormethiazide, Bumetanide, Medroxyprogesterone acetate, Disopyramide, Ethynodiol diacetate, Liraglutide, Cortisone acetate, Nateglinide, Hydrochlorothiazide, Diazoxide, Tipranavir, Mestranol, Testosterone, Hydrocortisone, Tranylcypromine, Prednisone, Methyclothiazide, Metolazone, Torasemide, Megestrol acetate, Mifepristone, Canagliflozin, Gliclazide, Brexpiprazole, Acetylsalicylic acid, Estradiol, Vorinostat, Asenapine, Vildagliptin, Norgestimate, Sirolimus, Lipoic acid, Paliperidone, Etonogestrel, Ritonavir, Pramlintide, Tacrolimus, Gliquidone, Ethinylestradiol, Insulin glulisine, Pegvisomant, Nelfinavir, Clozapine"
Collagenase clostridium histolyticum,"Ethyl biscoumacetate, Dalteparin, Citric acid, Dicoumarol, Phenprocoumon, Sulodexide, Edetic acid, Abciximab, Fondaparinux, Treprostinil, Enoxaparin, Acenocoumarol, Phenindione, Warfarin, Heparin"
Cetrorelix,Capromab pendetide
Adalimumab,"Pimecrolimus, Trastuzumab, Tocilizumab, Tacrolimus, Sipuleucel-T, Canakinumab, Vedolizumab, Infliximab, Natalizumab, Denosumab, Rilonacept, Certolizumab pegol, Cyclosporine, Belimumab, Tofacitinib, Aminophylline, Theophylline, Abatacept, Warfarin, Roflumilast, Leflunomide"
Somatotropin,"Estradiol, Prednisone, Cortisone acetate, Estrone sulfate"
Abciximab,"Sulindac, Drospirenone, Tipranavir, Glucosamine, Levonorgestrel, Heparin, Paroxetine, Dabigatran etexilate, Vitamin E, Indomethacin, Dextran, Ibritumomab tiuxetan, Norethisterone, Citalopram, Duloxetine, Argatroban, Edoxaban, Mestranol, Dipyridamole, Escitalopram, Citric acid, Venlafaxine, Pentosan polysulfate, Ticagrelor, Nabumetone, Edetic acid, Danaparoid, Tinzaparin, Levomilnacipran, Cangrelor, Limaprost, Nintedanib, Tolmetin, Warfarin, Icosapent, Diflunisal, Ethynodiol diacetate, Sulodexide, Acenocoumarol, Tiaprofenic acid, Pentoxifylline, Phenprocoumon, Mefenamic acid, Clopidogrel, Fenoprofen, Vortioxetine, Etodolac, Omega-3 fatty acids, Epoprostenol, Obinutuzumab, Progesterone, Phenindione, Desvenlafaxine, Desirudin, Deoxycholic acid, Floctafenine, Icosapent ethyl, Cilostazol, Nadroparin, Naproxen, Deferasirox, Iloprost, Ibrutinib, Ethinylestradiol, Apixaban, Meloxicam, Dicoumarol, Milnacipran, Acetylsalicylic acid, Norgestimate, Dasatinib, Eptifibatide, Salsalate, Sertraline, Belimumab, Prasugrel, Piroxicam, Vilazodone, Fluoxetine, Vorapaxar, Enoxaparin, Anagrelide, Oxaprozin, Aminosalicylic acid, Fluvoxamine, Caffeine, Ridogrel, Desogestrel, Flurbiprofen, Dienogest, Bismuth subsalicylate, Magnesium salicylate, Estradiol, Ketoprofen, Diclofenac, Rivaroxaban, Streptokinase, Tositumomab, Dihydrocodeine, Megestrol acetate, Etonogestrel, Ketorolac, Estrone sulfate, Treprostinil, Fondaparinux, Ethyl biscoumacetate, Medroxyprogesterone acetate, Cyproterone acetate, Omega-3-acid ethyl esters, Dalteparin, Ticlopidine, Tirofiban, Celecoxib, Ibuprofen, Hydroxyprogesterone caproate"
Gemtuzumab ozogamicin,"Tofacitinib, Leflunomide, Natalizumab, Metamizole, Tacrolimus, Roflumilast, Pimecrolimus, Clozapine, Belimumab, Denosumab, Sipuleucel-T, Trastuzumab"
Pegaspargase,"Sipuleucel-T, Trastuzumab, Tofacitinib, Tacrolimus, Pegloticase, Pimecrolimus, Denosumab, Roflumilast, Natalizumab, Leflunomide"
Interferon beta-1a,"Theophylline, Zidovudine"
Pegademase,"Pentostatin, Pegloticase"
Eptifibatide,"Omega-3 fatty acids, Sulodexide, Apixaban, Warfarin, Citric acid, Edetic acid, Acenocoumarol, Dasatinib, Ridogrel, Rivaroxaban, Ibrutinib, Vitamin E, Ethyl biscoumacetate, Deoxycholic acid, Enoxaparin, Dicoumarol, Limaprost, Dabigatran etexilate, Fondaparinux, Ibritumomab tiuxetan, Treprostinil, Tositumomab, Pentoxifylline, Dalteparin, Pentosan polysulfate, Tipranavir, Phenindione, Obinutuzumab, Heparin, Acetylsalicylic acid, Phenprocoumon, Glucosamine, Streptokinase"
Infliximab,"Trastuzumab, Bumetanide, Fosinopril, Haloperidol, Acenocoumarol, Diclofenac, Dabigatran etexilate, Timolol, Indapamide, Tacrolimus, Natalizumab, Atenolol, Acebutolol, Rivaroxaban, Heparin, Spironolactone, Triamterene, Latanoprost, Rimexolone, Olsalazine, Diflunisal, Desirudin, Unoprostone, Roflumilast, Methyclothiazide, Ciprofloxacin, Danaparoid, Neomycin, Pindolol, Betaxolol, Piroxicam, Apixaban, Olmesartan, Irbesartan, Celecoxib, Meloxicam, Colesevelam, Moexipril, Pimecrolimus, Furosemide, Methotrexate, Pralatrexate, Eplerenone, Losartan, Bendroflumethiazide, Floctafenine, Denosumab, Pamidronic acid, Cholestyramine, Labetalol, Probenecid, Kanamycin, Captopril, Risedronic acid, Valsartan, Metolazone, Mesalazine, Nebivolol, Perindopril, Trandolapril, Zoledronic acid, Cilazapril, Aliskiren, Cyclosporine, Carteolol, Certolizumab pegol, Eprosartan, Indomethacin, Tenofovir disoproxil, Drospirenone, Enalapril, Flurbiprofen, Leflunomide, Tofacitinib, Benazepril, Bisoprolol, Chlorothiazide, Metoprolol, Chlorthalidone, Warfarin, Naproxen, Tinzaparin, Ustekinumab, Fenoprofen, Gentamicin, Ramipril, Tafluprost, Abatacept, Hydrochlorothiazide, Tocilizumab, Levofloxacin, Amiloride, Alendronic acid, Ofloxacin, Belimumab, Enalaprilat, Nabumetone, Penbutolol, Oxaprozin, Canakinumab, Amikacin, Treprostinil, Etacrynic acid, Telmisartan, Fluorometholone, Sipuleucel-T, Tiaprofenic acid, Tobramycin, Sulindac, Ketoprofen, Streptomycin, Digoxin, Rilonacept, Enoxaparin, Colestipol, Lisinopril, Estradiol, Nadroparin, Tolmetin, Tiludronic acid, Vancomycin, Ketorolac, Travoprost, Torasemide, Azilsartan medoxomil, Lithium cation, Mefenamic acid, Quinapril, Difluprednate, Gemifloxacin, Hydralazine, Ibandronate, Propranolol, Ibuprofen, Nadolol, Fondaparinux, Moxifloxacin, Dalteparin, Norfloxacin, Argatroban, Balsalazide, Sotalol, Clodronic acid, Etodolac, Edoxaban, Esmolol, Carvedilol, Vedolizumab, Golimumab, Bimatoprost, Deferasirox, Candesartan cilexetil"
Interferon beta-1b,"Theophylline, Zidovudine"
Interferon alfacon-1,"Zidovudine, Metamizole, Clozapine, Ribavirin, Methadone, Theophylline"
Hyaluronidase (ovine),"Budesonide, Bismuth subsalicylate, Lidocaine, Hydrocortisone, Chloroprocaine, Ropivacaine, Ephedrine, Chlorotrianisene, Hydroxyzine, Dopamine, Levocetirizine, Flurandrenolide, Dexchlorpheniramine maleate, Dimenhydrinate, Carbinoxamine, Loratadine, Salsalate, Estradiol, Prednisolone, Beclomethasone dipropionate, Halcinonide, Meclizine, Brompheniramine, Levocabastine, Cetirizine, Epinephrine, Ulobetasol, Estrone sulfate, Desoximetasone, Fexofenadine, Fluocinonide, Fluorometholone, Chlorpheniramine, Doxylamine, Acetylsalicylic acid, Amcinonide, Triamcinolone, Azelastine, Difluprednate, Triprolidine, Corticotropin, Prednisone, Cyclizine, Magnesium salicylate, Bupivacaine, Aminosalicylic acid, Fluocinolone acetonide, Fluticasone furoate, Phenylephrine, Diflorasone, Cortisone acetate, Norepinephrine, Alclometasone, Desloratadine, Pizotifen, Diphenhydramine, Clemastine, Clobetasol propionate, Tetracaine, Dexamethasone, Olopatadine, Hydrocortamate, Betamethasone, Mepivacaine, Rimexolone, Clocortolone, Methylprednisolone, Mometasone, Fludrocortisone, Prednicarbate, Cyproheptadine, Prilocaine"
Trastuzumab,"Mitomycin, Cisplatin, Trastuzumab emtansine, Dactinomycin, Nilotinib, Natalizumab, Panobinostat, Idarubicin, Rituximab, Abatacept, Mycophenolic acid, Prednisolone, Glatiramer, Basil, Lenalidomide, Antithymocyte immunoglobulin (rabbit), Obinutuzumab, Cortisone acetate, Docetaxel, Tofacitinib, Ruxolitinib, Pralatrexate, Secukinumab, Sorafenib, Vindesine, Tioguanine, Dexamethasone, Ustekinumab, Cyclophosphamide, Methylprednisolone, Triamcinolone, Tretinoin, Pazopanib, Golimumab, Pemetrexed, Corticotropin, Irinotecan, Vedolizumab, Estramustine, Belimumab, Temsirolimus, Vinorelbine, Fludarabine, Altretamine, Floxuridine, Thalidomide, Epirubicin, Mechlorethamine, Basiliximab, Clofarabine, Leflunomide, Teriflunomide, Procarbazine, Cyclosporine, Eculizumab, Capecitabine, Alemtuzumab, Fluorouracil, Osimertinib, Certolizumab pegol, Hydroxyurea, Doxorubicin, Topotecan, Azathioprine, Thiotepa, Cytarabine, Teniposide, Prednisone, Mitoxantrone, Cladribine, Ifosfamide, Temozolomide, Tocilizumab, Etoposide, Dasatinib, Tositumomab, Everolimus, Hydrocortisone, Amsacrine, Chlorambucil, Carboplatin, Fingolimod, Bleomycin, Pomalidomide, Imiquimod, Busulfan, Brentuximab vedotin, Paclitaxel, Sirolimus, Phenylalanine, Canakinumab, Sunitinib, Imatinib, Dacarbazine, Vincristine, Mercaptopurine, Palbociclib, Ibrutinib, Pentostatin, Betamethasone, Lomustine, Carmustine, Methotrexate, Mycophenolate mofetil, Melphalan, Idelalisib, Oxaliplatin, Blinatumomab, Nelarabine, Cabazitaxel, Gemcitabine, Rilonacept, Trabectedin, Fludrocortisone, Streptozocin, Ibritumomab tiuxetan, Azacitidine, Vinblastine, Daunorubicin, Dinutuximab, Tacrolimus, Belatacept, Siltuximab, Budesonide"
Rituximab,"Roflumilast, Belimumab, Moxonidine, Reserpine, Nicardipine, Terazosin, Tacrolimus, Acebutolol, Moexipril, Nitroprusside, Captopril, Spironolactone, Denosumab, Labetalol, Amiloride, Sipuleucel-T, Carvedilol, Quinapril, Etacrynic acid, Phentolamine, Nisoldipine, Metolazone, Indapamide, Propranolol, Leflunomide, Minoxidil, Nadolol, Nimodipine, Candesartan cilexetil, Bisoprolol, Pindolol, Mannitol, Betaxolol, Prazosin, Ramipril, Hydrochlorothiazide, Olmesartan, Valsartan, Methyclothiazide, Tofacitinib, Certolizumab pegol, Trandolapril, Clonidine, Amlodipine, Fosinopril, Chlorthalidone, Esmolol, Methyldopa, Chlorothiazide, Triamterene, Doxazosin, Aliskiren, Pimecrolimus, Losartan, Bumetanide, Cilazapril, Natalizumab, Benazepril, Clevidipine, Atenolol, Sotalol, Diltiazem, Penbutolol, Mecamylamine, Perindopril, Nifedipine, Felodipine, Isradipine, Enalaprilat, Metamizole, Phenoxybenzamine, Eprosartan, Verapamil, Guanfacine, Lisinopril, Metoprolol, Abatacept, Enalapril, Hydralazine, Clozapine, Torasemide, Azilsartan medoxomil, Telmisartan, Irbesartan, Timolol, Eplerenone, Furosemide, Nebivolol"
Basiliximab,"Leflunomide, Belimumab, Sipuleucel-T, Tofacitinib, Natalizumab, Denosumab, Tacrolimus, Roflumilast, Pimecrolimus"
Ibritumomab tiuxetan,"Sulindac, Dalteparin, Tolmetin, Treprostinil, Fondaparinux, Clopidogrel, Ketorolac, Roflumilast, Etodolac, Enoxaparin, Floctafenine, Tofacitinib, Dipyridamole, Ibuprofen, Fluvoxamine, Dicoumarol, Citric acid, Anagrelide, Phenindione, Piroxicam, Tinzaparin, Vilazodone, Ticagrelor, Nadroparin, Fluoxetine, Leflunomide, Tirofiban, Venlafaxine, Tiaprofenic acid, Vorapaxar, Meloxicam, Levomilnacipran, Diclofenac, Diflunisal, Cangrelor, Naproxen, Metamizole, Sertraline, Vortioxetine, Ketoprofen, Rivaroxaban, Tacrolimus, Natalizumab, Heparin, Indomethacin, Denosumab, Acenocoumarol, Edetic acid, Ethyl biscoumacetate, Dabigatran etexilate, Desvenlafaxine, Apixaban, Warfarin, Mefenamic acid, Acetylsalicylic acid, Milnacipran, Escitalopram, Paroxetine, Ticlopidine, Nabumetone, Flurbiprofen, Edoxaban, Pimecrolimus, Sulodexide, Belimumab, Citalopram, Phenprocoumon, Oxaprozin, Clozapine, Argatroban, Prasugrel, Desirudin, Duloxetine, Sipuleucel-T, Fenoprofen, Danaparoid, Cilostazol"
Daptomycin,"Atorvastatin, Simvastatin, Pravastatin, Fluvastatin, Rosuvastatin, Lovastatin, Pitavastatin"
Tositumomab,"Diflunisal, Levomilnacipran, Dalteparin, Venlafaxine, Flurbiprofen, Treprostinil, Duloxetine, Heparin, Anagrelide, Sertraline, Natalizumab, Edetic acid, Ketoprofen, Fondaparinux, Apixaban, Floctafenine, Vortioxetine, Leflunomide, Phenprocoumon, Fluvoxamine, Acenocoumarol, Ketorolac, Cangrelor, Tolmetin, Danaparoid, Edoxaban, Rivaroxaban, Ibuprofen, Etodolac, Paroxetine, Tirofiban, Tofacitinib, Citric acid, Escitalopram, Meloxicam, Pimecrolimus, Caffeine, Clozapine, Roflumilast, Belimumab, Indomethacin, Mefenamic acid, Enoxaparin, Citalopram, Denosumab, Piroxicam, Vorapaxar, Acetylsalicylic acid, Sipuleucel-T, Ticlopidine, Fluoxetine, Tinzaparin, Desvenlafaxine, Nabumetone, Dicoumarol, Vilazodone, Sulindac, Ticagrelor, Tacrolimus, Phenindione, Nadroparin, Metamizole, Prasugrel, Dabigatran etexilate, Ethyl biscoumacetate, Dipyridamole, Diclofenac, Oxaprozin, Milnacipran, Warfarin, Dihydrocodeine, Naproxen, Fenoprofen, Desirudin, Argatroban, Tiaprofenic acid, Sulodexide, Cilostazol, Clopidogrel"
Pegvisomant,"Fentanyl, Albiglutide, Saxagliptin, Lanreotide, Remifentanil, Mecasermin, Dulaglutide, Oxycodone, Pentazocine, Insulin detemir, Nalbuphine, Liraglutide, Mifepristone, Hydrocodone, Rosiglitazone, Sitagliptin, Tapentadol, Hydromorphone, Sufentanil, Alfentanil, Repaglinide, Tolazamide, Meperidine, Quinine, Alogliptin, Insulin glulisine, Glipizide, Methadone, Sunitinib, Metformin, Nateglinide, Sulfadiazine, Insulin aspart, Chlorpropamide, Morphine, Exenatide, Glyburide, Gliclazide, Buprenorphine, Octreotide, Pioglitazone, Glimepiride, Oxymorphone, Pramlintide, Pentamidine, Insulin degludec, Empagliflozin, Disopyramide, Pasireotide, Miglitol, Pegloticase, Bromocriptine, Tolbutamide, Acarbose, Levorphanol, Dapagliflozin, Butorphanol, Tramadol"
Botulinum toxin type A,"Arbekacin, Fluphenazine, Umeclidinium, Succinylcholine, Trifluoperazine, Ribostamycin, Benzatropine, Procyclidine, Triprolidine, Trimethobenzamide, Oxybutynin, Cyclizine, Trospium, Olanzapine, Flavoxate, Isocarboxazid, Amitriptyline, Darifenacin, Dicyclomine, Olopatadine, Tolterodine, Desloratadine, Imipramine, Quetiapine, Streptomycin, Butylscopolamine, Hyoscyamine, Framycetin, Aclidinium, Atracurium besylate, Atropine, Desipramine, Dimenhydrinate, Prochlorperazine, Chlorpromazine, Levocabastine, Trimipramine, Fexofenadine, Cyclopentolate, Gentamicin, Doxylamine, Cyclobenzaprine, Propantheline, Thiothixene, Hydroxyzine, Vecuronium, Moclobemide, Cisatracurium, Promazine, Rocuronium, Kanamycin, Clomipramine, Clemastine, Tiotropium, Dexchlorpheniramine maleate, Amikacin, Perphenazine, Promethazine, Maprotiline, Flupentixol, Spectinomycin, Netilmicin, Zuclopenthixol, Diphenhydramine, Glycopyrronium, Tranylcypromine, Methscopolamine, Amoxapine, Trihexyphenidyl, Orphenadrine, Droperidol, Neomycin, Azelastine, Disopyramide, Ipratropium, Cyproheptadine, Thioridazine, Protriptyline, Phenelzine, Pimozide, Solifenacin, Loratadine, Carbinoxamine, Loxapine, Homatropine, Pancuronium, Haloperidol, Tobramycin, Chlorpheniramine, Scopolamine, Doxepin, Clozapine, Nortriptyline, Levocetirizine, Pizotifen, Fesoterodine, Methotrimeprazine, Risperidone, Meclizine, Brompheniramine, Cetirizine, Mepenzolate"
Pancrelipase,Iron Dextran
Streptokinase,"Escitalopram, Fluoxetine, Desirudin, Tiaprofenic acid, Rivaroxaban, Aminosalicylic acid, Sulindac, Meloxicam, Citalopram, Acenocoumarol, Prasugrel, Clopidogrel, Bismuth subsalicylate, Enoxaparin, Dabigatran etexilate, Vortioxetine, Caffeine, Nadroparin, Cangrelor, Edoxaban, Sertraline, Argatroban, Ketorolac, Magnesium salicylate, Diclofenac, Cilostazol, Oxaprozin, Ticagrelor, Mefenamic acid, Treprostinil, Ticlopidine, Piroxicam, Aprotinin, Ibuprofen, Tinzaparin, Iloprost, Tirofiban, Dipyridamole, Warfarin, Indomethacin, Acetylsalicylic acid, Paroxetine, Duloxetine, Etodolac, Milnacipran, Dalteparin, Levomilnacipran, Ketoprofen, Vorapaxar, Venlafaxine, Apixaban, Desvenlafaxine, Fondaparinux, Dihydrocodeine, Vilazodone, Naproxen, Salsalate, Danaparoid, Epoprostenol, Flurbiprofen, Fluvoxamine, Heparin, Tolmetin, Fenoprofen, Diflunisal, Nabumetone, Floctafenine, Anagrelide"
Alemtuzumab,"Leflunomide, Natalizumab, Sipuleucel-T, Denosumab, Tacrolimus, Clozapine, Metamizole, Pimecrolimus, Tofacitinib, Roflumilast, Belimumab"
Capromab pendetide,"Hydrocortisone, Estrone sulfate, Methylprednisolone, Corticotropin, Triamcinolone, Cyproterone acetate, Fludrocortisone, Prednisone, Norgestimate, Ethinylestradiol, Desogestrel, Nafarelin, Ketoconazole, Buserelin, Bicalutamide, Degarelix, Abiraterone, Medroxyprogesterone acetate, Betamethasone, Mestranol, Histrelin, Dexamethasone, Ethynodiol diacetate, Prednisolone, Norethisterone, Estradiol, Cortisone acetate, Drospirenone, Megestrol acetate, Nilutamide, Flutamide, Enzalutamide, Ganirelix, Triptorelin"
Cyclosporine,"Pazopanib, Ascorbic acid, Butobarbital, Mitoxantrone, Foscarnet, Fenoprofen, Oxaprozin, Tofacitinib, Mycophenolic acid, Posaconazole, Streptomycin, Tiaprofenic acid, Dronedarone, Roflumilast, Felodipine, Boceprevir, Amlodipine, Efavirenz, Pasireotide, Carvedilol, Etoposide, Trimethoprim, Nafcillin, Methylprednisolone, Norfloxacin, Amiloride, Arbekacin, Armodafinil, Isradipine, Danazol, Telaprevir, Triamterene, Tolmetin, Secobarbital, Indomethacin, Minoxidil, Prednisone, Oxymetholone, Hexobarbital, Atracurium besylate, Ritonavir, Telmisartan, Ranolazine, Ezetimibe, Silodosin, Losartan, Amiodarone, Ibuprofen, Melphalan, Methyltestosterone, Fimasartan, Nifedipine, Fosaprepitant, Sulfamethoxazole, Brentuximab vedotin, Rifampicin, Phenytoin, Darunavir, Sulindac, Isoflurophate, Vincristine, Spectinomycin, Celecoxib, Pyrazinamide, Dalfopristin, Etodolac, Doxorubicin, Lomitapide, Eluxadoline, Verapamil, Aliskiren, Saquinavir, Oxandrolone, Ticagrelor, Palbociclib, Flurbiprofen, Cyclophosphamide, Mitotane, Sevelamer, Dabrafenib, Pimozide, Mifepristone, Itraconazole, Nelfinavir, Prednisolone, Topotecan, Repaglinide, Spironolactone, Rifaximin, Butabarbital, Furosemide, Eprosartan, Ketoprofen, Vitamin E, Flibanserin, Sirolimus, Azithromycin, Nabumetone, Ivacaftor, Deferasirox, Chloramphenicol, Valsartan, Ambrisentan, Floctafenine, Atorvastatin, Lanreotide, Succinylcholine, Edoxaban, Rocuronium, Imatinib, Lercanidipine, Bepridil, Bromocriptine, Quinupristin, Afatinib, Candesartan cilexetil, Fenofibrate, Amobarbital, Idelalisib, Dofetilide, Metoclopramide, Caffeine, Griseofulvin, Acetazolamide, Tipranavir, Dabigatran etexilate, Naproxen, Olmesartan, Pimecrolimus, Batimastat, Omeprazole, Digoxin, Nicardipine, Cisatracurium, Phenobarbital, Fluconazole, Glyburide, Tobramycin, Sulfisoxazole, Tesmilifene, Eplerenone, Naloxegol, St. John's Wort, Vecuronium, Pitavastatin, Ledipasvir, Diclofenac, Heptabarbital, Pravastatin, Bumetanide, Cholic Acid, Lovastatin, Voriconazole, Kanamycin, Tacrolimus, Butalbital, Gentamicin, Dexamethasone, Metreleptin, Everolimus, Rosuvastatin, Conivaptan, Sipuleucel-T, Fosphenytoin, Primidone, Bexarotene, Neomycin, Fusidic acid, Diflunisal, Etacrynic acid, Dasatinib, Fluoxymesterone, Mycophenolate mofetil, Methohexital, Indinavir, Torasemide, Ribostamycin, Pentobarbital, Ketoconazole, Framycetin, Phenylalanine, Bosentan, Diltiazem, Rifapentine, Crizotinib, Nisoldipine, Fosamprenavir, Rifabutin, Colchicine, Clarithromycin, Aprepitant, Methotrexate, Mefenamic acid, Simvastatin, Modafinil, Siltuximab, Meloxicam, Ketorolac, Denosumab, Stanolone, Leflunomide, Tocilizumab, Irbesartan, Imipenem, Gemfibrozil, Sulfinpyrazone, Pancuronium, Carbamazepine, Fluvastatin, Caspofungin, Colesevelam, Acetaminophen, Amphotericin B, Enzalutamide, Azilsartan medoxomil, Prucalopride, Simeprevir, Bosutinib, Aripiprazole, Natalizumab, Stiripentol, Octreotide, Sulfadiazine, Nimodipine, Luliconazole, Netilmicin, Temsirolimus, Sitaxentan, Amikacin, Netupitant, Testosterone, Lopinavir, Cilastatin, Hydrocodone, Bezafibrate, Piroxicam, Erythromycin, Atazanavir, Orlistat"
