drug,effect
methotrexate,diffuse interstitial pulmonary fibrosis
methotrexate,hepatotoxicity
methotrexate,granulomas
methotrexate,pulmonary eosinophilia
adenine arabinoside,hyponatremia
adenine arabinoside,syndrome of inappropriate antidiuretic hormone
adenine arabinoside,inappropriate antidiuretic hormone
methotrexate,abdominal pain
methotrexate,bone pain
methotrexate,elevated liver transaminases
methotrexate,mild neutropenia
methotrexate,mild pruritus
methotrexate,nausea
carbamazepine,dystonia
carbamazepine,opisthotonus
methazolamide,agranulocytosis
methazolamide,aplastic anemia
acetazolamide,aplastic anemia
5-fluorouracil,squamous-cell carcinoma
5-fu,squamous-cell carcinoma
methysergide maleate,arterial insufficiency
methysergide,migraine headaches
rifampicin,erythema multiforme bullosum
lithium carbonate,renal damage
psoralens,squamous cell carcinoma
propranolol,diabetic coma
propranolol,hyperglycemia
thiazide,diabetic coma
acetazolamide,severe acidosis
aspirin,tracheal compression
clindamycin,pseudomembranous colitis
bromocryptine,lost vision
formalin,fatal acute tubular necrosis
formalin,fatal complication
formic acid,metabolic acidosis
amoxapine,galactorrhea
dibenzoxazepine,galactorrhea
ibuprofen,15-kg weight gain
ibuprofen,edema
ibuprofen,salt and water retention
indomethacin,salt and water retention
phenylbutazone,salt and water retention
allopurinol,hand and foot deformities
allopurinol,telescoped digits of the hands and feet
amphotericin b,acute toxic delirium
amphotericin b,eeg abnormalities
amphotericin b,neurotoxicity
bleomycin,aortic wall in this case was damaged
doxorubicin,cardiomyopathy
doxorubicin,cardiotoxicity
ouabain,minor electrocardiographical changes
digoxin,cardiomyopathy
ouabain,cardiomyopathy
sulindac,isolated idential sensory neuropathy
clinoril,neurologic toxic effects
sulindac,neurologic toxic effects
sulindac,isolated paresthesia
sulindac,peripheral neuropathy
serine,psychotic symptoms
ergotamine,arteriospasm
ergot,arteriospasm
ergot,gangrene of the extremities
haloperidol,hyperpyrexia
lithium,hyperpyrexia
haloperidol,irreversible tardive dyskinesia
lithium,irreversible tardive dyskinesia
haloperidol,mutism
lithium,mutism
haloperidol,severe rigidity
lithium,severe rigidity
thioridazine,lithium toxicity
lithium,neuroleptic malignant extrapyramidal syndrome
thioridazine,neuroleptic malignant extrapyramidal syndrome
chlorambucil,chromosome damage
dextrose,anaphylactoid reaction
dextrose,increased histamine release
salicylate,hepato toxicity
aspirin,anicteric hepatitis
bleomycin,encephalopathy
cisplatinum,encephalopathy
vinblastine,encephalopathy
bleomycin,left homonymous hemianopsia
cisplatinum,left homonymous hemianopsia
vinblastine,left homonymous hemianopsia
bleomycin,partial nondominant parietal lobe syndrome
cisplatinum,partial nondominant parietal lobe syndrome
vinblastine,partial nondominant parietal lobe syndrome
bleomycin,transient left homonymous hemianopsia
cisplatinum,transient left homonymous hemianopsia
vinblastine,transient left homonymous hemianopsia
propylthiouracil,eosinophilia
ptu,eosinophilia
propylthiouracil,granulocytopenia
ptu,granulocytopenia
propylthiouracil,hepatitis
ptu,hepatitis
propylthiouracil,skin reaction
ptu,skin reaction
propylthiouracil,lymphocyte sensitization
pentobarbital,ataxia
pyrilamine maleate,ataxia
pentobarbital,depressed level of consciousness
pyrilamine maleate,depressed level of consciousness
pentobarbital,marked irritability
pyrilamine maleate,marked irritability
pentobarbital,toxic encephalopathy
pyrilamine maleate,toxic encephalopathy
penicillamine,optic neuropathy
d-penicillamine,optic neuropathy
accutane,acute myopia
isotretinoin,acute myopia
accutane,transient myopia
accutane,transient acute myopia
isotretinoin,transient acute myopia
benzoin,allergic contact dermatitis
ara-c,herpesvirus infection
cytarabine,herpesvirus infection
cytosine arabinoside,herpesvirus infection
cytarabine,cutaneous herpes zoster
cytarabine,visceral herpesvirus infections
gold,neuropathy
b663,intra-neural ceroid-like pigment
clofazimine,intra-neural ceroid-like pigment
lamprene,intra-neural ceroid-like pigment
clofazimine,ceroid-like pigment
methyl g: calgb,severe neurotoxicity
nortriptyline,sinus tachycardia
acth,cerebral atrophy
cefmenoxime,disulfiram-like reactions
cefmenoxime,disulfiram-like reaction
lithium,akathisia
lithium,bucco-linguo-masticatory dyskinesia
silver sulfadiazine,acute leukopenia
prednisone,disseminated histoplasmosis
captopril,acute renal failure
captopril,nonoliguric acute renal failure
captopril,acute reversible renal failure
fluoxetine,mania
fluoxetine,manic episode
cyclophosphamide,alopecia
cyclophosphamide,nausea
cyclophosphamide,vomiting
5-fluorouracil,haemolytic-uraemic syndrome
mitomycin c,haemolytic-uraemic syndrome
5-fluorouracil,acute renal toxicity
mitomycin c,acute renal toxicity
25-hydroxyvitain d3,ileal resection
cholestyramine,osteomalacia
lithium,tremor
lithium carbonate,tremor
diazepam,seizures
phenytoin,transient hemiparesis
phenytoin,focal neurological deficit
2-propylpentanoic acid,severe unilateral grand mal seizure
phenobarbitone,severe unilateral grand mal seizure
valproate,severe unilateral grand mal seizure
vpa,severe unilateral grand mal seizure
cefoxitin,granulomatous hepatitis
gold sodium thiomalate,stroke-like syndrome
gold sodium thiomalate,vasomotor reaction
gold sodium thiomalate,vasomotor reactions
auranofin,gold nephropathy
gold,gold nephropathy
tolmetin,gold nephropathy
tolmetin,pseudoproteinuria
sodium aurothiomalate,cough
sodium aurothiomalate,dyspnea
sodium aurothiomalate,low-grade fever
gold,pulmonary gold toxicity
cyclophosphamide,fibrosis
cyclophosphamide,interstitial pneumonitis
cyclophosphamide,pneumonitis
cyclophosphamide,lung disease
cyclophosphamide,respiratory insufficiency
disulfiram,reversible toxic liver damage
disulfiram,toxic hepatitis
clioquinol,acrodermatitis enteropathica
clioquinol,smon
tamoxifen,retinal changes
tamoxifen,retinopathy
tamoxifen,corneal and retinal changes
d-penicillamine,mammary gigantism
ampicillin,seizures
rifampicin,skin lesions
rifampicin,pemphigus foliaceus
lorcainide,hyponatremia
lorcainide,decrease in serum na+
lorcainide,siadh
hydrochlorothiazide,severe hyponatremia
lorcainide,hypoosmolality
chlorpropamide,acute intravascular hemolysis
glyburide,acute intravascular hemolysis
chlorpropamide,hemolytic anemia
amiodarone,interstitial pneumopathy
propranolol,alternating sinus rhythm
propranolol,intermittent sinoatrial block
propranolol,intermittent sinoatrial (s-a) block
propranolol,abnormal rhythm
propranolol,conduction disorder
methylprednisolone,anaphylactoid reaction
ccnu,pulmonary toxicity
ccnu,pulmonary fibrosis
ccnu,fatal pulmonary fibrosis
busulfan,additive pulmonary toxicity
melphalan,additive pulmonary toxicity
busulfan,severe interstitial lung fibrosis
melphalan,severe interstitial lung fibrosis
cholestyramine ii,confusion
cholestyramine ii,drowsiness
cholestyramine ii,lethargy
cholestyramine,hyperchloremic metabolic acidosis
dcf,immunosuppression
dcf,superinfection
dcf,conjunctivitis
dcf,keratitis
dcf,ocular toxicity
vasopressin,renal damage
vasopressin,skeletal muscle ischemia
vasopressin,acute renal failure
vasopressin,myoglobinuria
amphotericin b,nephrotoxicity
amphotericin b,impaired renal function
fluoresone,gynecomastia
phenobarbital,gynecomastia
phenytoin,gynecomastia
amoxapine,dyskinesia
amoxapine,oral-facial dyskinesia
etretinate,toxic hepatitis
methotrexate,toxic hepatitis
hydrochlorothiazide,hyponatremia
scopolamine,unilateral acute angle-closure glaucoma
deanol,tardive dyskinesia
cephalosporins,vitamin k deficiency
cephalosporin,coagulopathy
moxalactam,coagulopathy
moxalactam,platelet dysfunction
"1,3-bis(2-chloroethyl)-1-nitrosourea",fatal pulmonary fibrosis
penicillamine,thrombotic thrombocytopenic purpura
penicillamine,ttp
amiodarone hydrochloride,cough
amiodarone hydrochloride,diffuse pulmonary infiltrates
amiodarone hydrochloride,dyspnea
amiodarone hydrochloride,pulmonary toxicity
amiodarone,fibrosing alveolitis
theophylline,gynecomastia
verapamil,sustained hypotension
fenoprofen,pure red cell aplasia
fenoprofen,erythroid aplasia
quinacrine hydrochloride,psychosis
trazodone,priapism
paracetamol,severe hepatic necrosis
zomepirac,anaphylactoid shock
zomepirac,anuric renal failure
zomepirac,disseminated intravascular coagulation
zomepirac,focal renal cortical necrosis
zomepirac,anaphylactoid reaction
cimetidine,fever
cinepazide,behavioral change
amphojel,small-bowel obstruction
phenytoin,periodic alternating nystagmus
gold-salt,nephropathy
gold-salt,damage to proximal tubules
gold,nephrotic syndrome
glibenclamide,cutaneous bullae
glibenclamide,intrahepatic cholestasis
chlorpropamide,intrahepatic cholestasis
ergonovine,spasm
propranolol,delirium
propranolol,grand mal seizure
propranolol,photosensitivity
disulfiram,catatonia
disulfiram,catatonic syndrome
cyclofenil,hepatic reactions
theophylline,peptic ulcer disease
desipramine,siadh
rifampin,tubular and interstitial lesions
rifampin,renal lesions
isoniazid,acute renal failure
tolmetin,nephrotic range pseudoproteinuria
isoniazid,histamine reaction
disulfiram,fulminant hepatitis
disulfiram,fatal fulminant hepatitis
propylthiouracil,agranulocytosis
thiabendazole,prolonged jaundice
thiabendazole,sicca complex
thiabendazole,intrahepatic cholestasis
thiabendazole,cholestasis
adriamycin,adriamycin toxicity
doxorubicin,adriamycin toxicity
adriamycin,died
doxorubicin,died
l-asparaginase,focal seizures
l-asparaginase,intracranial hemorrhage
asparaginase,dural sinus thrombosis
prednisone,dural sinus thrombosis
vincristine sulfate,dural sinus thrombosis
asparaginase,antithrombin iii deficiency
penicillamine,lupus erythematosus
penicillamine,systemic lupus erythematosus
prednisone,cushingoid features
disopyramide,fasting hypoglycemia
disopyramide,hypoglycemia
norpace,hypoglycemia
cefoxitin,renal failure
cefoxitin,acute tubular necrosis
gentamicin,acute tubular necrosis
cefoxitin sodium,acute deterioration of renal function
sq 14225,transient anuria
captopril,acute renal impairment
captopril,transient anuria
amiodarone,atypical ventricular tachycardia
disopyramide,atypical ventricular tachycardia
quinidine,atypical ventricular tachycardia
amiodarone,avt
disopyramide,avt
quinidine,avt
disopyramide,torsade de pointes
quinidine,torsade de pointes
disopyramide,arrhythmia
quinidine,arrhythmia
disopyramide,syncope
dopamine,coronary vasoconstriction
hydroxychloroquine,nephrosis
cimetidine,hepatitis
cimetidine,hepatic dysfunction
cimetidine,impaired macrophage migration
digoxin,complete atrioventricular block
verapamil,angina pectoris
flucytosine,diarrhea
flucytosine,marked separation of loops of bowel
flucytosine,severe luminal narrowing
flucytosine,ulcerating enteritis
flucytosine,ulceration
perhexiline maleate,papilledema
l-asparaginase,acute pancreatitis
l-asparaginase,pseudocyst of the pancreas
l-asparaginase,delayed pseudocyst of the pancreas
dca,decrease in blood lactate levels
lithium,delirious
lithium,delirium
arginine,hyperkalemia
arginine monohydrochloride,marked hyperkalemia
gold,lichen planus
gold,acne
gold,skin disturbances
lithium,secondary hyperparathyroidism
lithium,biochemical hyperparathyroidism
disopyramide phosphate,chb
norpace,chb
disopyramide phosphate,complete heart block
norpace,complete heart block
disopyramide,heart block
bretylium,cardiac arrest
bretylium,ventricular arrhythmia
bretylium,ventricular tachycardia
bretylium,cardiac arrests
bretylium,fibrillation
bretylium,paradoxical ventricular tachycardia
lithium,acute renal failure
lithium,nephrotic syndrome
lithium,proteinuria
lithium,tubulo-interstitial disease
ampicillin,diarrhea
vincristine,sensori-neural hearing loss
vincristine,acute acoustic nerve palsy
vincristine,bilateral acoustic (viii) nerve palsy
timolol,heart failure
timolol maleate,bradycardia
timolol maleate,congestive heart failure
timolol,dyspnea
timolol,sinus bradycardia
digoxin,fatal ventricular fibrillation
digoxin,functional impairment
digoxin,left ventricular dilatation
digoxin,ventricular fibrillation
l-dopa,rapid mood cycling
l-dopa,shortened the manic-depressive cycle
perhexiline maleate,liver disease
perhexiline maleate,fatal perhexiline maleate liver injury
dihydroxybusulfan,acute non-lymphocytic leukemia
treosulfan,acute non-lymphocytic leukemia
treosulfan,acute leukemia
propranolol,bronchospasm
propranolol,central nervous system dysfunction
propranolol,central nervous system disturbances
methotrexate,interstitial fibrosis of the lung
methotrexate,progressive interstitial fibrosis
methotrexate,progressive interstitial lung disease
quinine,abnormalities of the pupil
quinine,amblyopia
quinine,abnormal visual-evoked potentials
quinine,denervation supersensitivity
quinine,transient tonic pupillary response
quinine sulfate,abnormal visual-evoked potentials
quinine sulfate,denervation supersensitivity
quinine sulfate,total blindness with a transient tonic pupillary response
practolol,sclerosing peritonitis
niflumic acid,skeletal fluorosis
niflumic acid,fluorosis
niflumic acid,densification of trabecular bone
d-penicillamine,hepatotoxicity
metformin,miliary tuberculosis
para-aminosalicylic acid,hypoglycaemia
pas,hypoglycaemia
para-aminosalicylic acid,hypoglycaemic coma
pas,hypoglycaemic coma
perhexiline maleate,hepatic dysfunction
perhexiline maleate,papilloedema
pexid,hepatic dysfunction
pexid,papilloedema
5-fluorouracil,increased pigmementation of skin
5-fluorouracil,pigmentary changes
disulfiram,catatonia syndrome
disulfiram,encephalopathy
vinblastine,inappropriate antidiuretic hormone secretion
vinblastine,inappropriate secretion of antidiuretic hormone
emepronium bromide,oesophageal damage
emepronium bromide,oesophageal ulceration
miconazole,cardiorespiratory toxicity
doxorubicin,cardiac arrest
miconazole,cardiorespiratory and anaphylactic reactions
clofibrate,myopathy
hycanthone,hepatotoxicity
hycanthone,severe hepatotoxicity
chlorambucil,fatal interstitial pneumonitis
chlorambucil,respiratory distress
barbiturate,submassive hepatic necrosis
barbiturates,submassive hepatic necrosis
procainamide,granulocytopenia
procainamide,reversible granulocytopenia
diphenylhydantoin,monoclonal gammopathy
diphenylhydantoin,multiple myeloma
dilantin,igg lambda-type monoclonal gammopathy
diphenylhydantoin,igg lambda-type monoclonal gammopathy
dilantin,multiple myeloma
atovaquone,vortex keratopathy
naloxone,severe pain
naloxone,withdrawal syndrome
methimazole,acc
mmi,acc
methimazole,aplasia cutis congenita
mmi,aplasia cutis congenita
flecainide,acute reversible encephalopathy
flecainide,acute reversible ataxo-myoclonic encephalopathy
methotrexate,bone marrow aplasia
mtx,bone marrow aplasia
methotrexate,severe skin rash
mtx,severe skin rash
mtx,extensive skin rash
mtx,acute hypersensitivity reaction
mtx,severe dermatologic toxicity
chlormadinone acetate,withdrawal syndrome
metronidazole,myopia
sulphonamide,myopia
griseofulvin,nephrotic syndrome
griseofulvin,systemic lupus erythematosus
griseofulvin,lupus
gold,neurological side effects
gold sodium thiomalate,mild nitritoid symptoms
gstm,mild nitritoid symptoms
gold sodium thiomalate,pain
gstm,pain
gold sodium thiomalate,t10-t12 dermatomes
gstm,t10-t12 dermatomes
ketoralac,acute sensorineural hearing loss
methotrexate,sensorineural hearing loss
pan,sensorineural hearing loss
ketorolac,ototoxicity
ketoralac,bilateral sensorineural hearing loss
cisplatin,anaphylactoid reactions
cisplatin,100 mg/m2
cisplatin,edema
cisplatin,palmar pruritus
cisplatin,urticaria
etoposide,myocardial infarction
acyclovir,acute renal failure
interferon alfa,anterior ischemic optic neuropathy
interferon alfa,"sudden bilateral, sequential visual loss"
interferon,vascular retinopathy
amitriptyline,neuroleptic malignant syndrome
lithium carbonate,neuroleptic malignant syndrome
levothyroxine,increased serum thyroid-stimulating hormone
adenosine,arrhythmia
adenosine,alterations in heart rate
propranolol,disorientation
propranolol,temporary amnesia
propafenone,transient global amnesia
aspirin,acute subdural haematoma
aspirin,intracranial haemorrhage
fluvoxamine,akathisia
fluoxetine,extrapyramidal side effects
sertraline,extrapyramidal side effects
bleomycin,interstitial pneumonitis
bleomycin,lung toxicity
gold,neutropenia
gold,severe neutropenia
amphotericin b,arrhythmias
amphotericin b,cardiac arrest
amphotericin b,cardiac arrhythmia
amphotericin,cardiac arrest
lithium,angry outbursts
lithium,irritability
interferon,graves' hyperthyroidism
interferon,transient thyrotoxicosis
ifn,graves' hyperthyroidism
inh,neurotoxicity
isoniazid,neurotoxicity
inh,seizures
inh,refractory seizures
phenylephrine,arterial hypertension
progestin,squamous metaplasia
progestin,squamous metaplasia within endometrial glands
furosemide,fever
kw-2149,pulmonary toxicity
cyclophosphamide,musculoskeletal complaints
ifosfamide,musculoskeletal complaints
ifosfamide,fanconi syndrome
benzarone,cirrhosis
benzarone,hepatotoxicity
benzarone,(sub)fulminant hepatitis
benzarone,severe hepatotoxicity
benzarone,severe chronic active hepatitis
warfarin,necrotizing fasciitis
sodium warfarin,myonecrosis
sodium warfarin,necrotizing fasciitis
mefloquine,severe hypoglycaemia
mefloquine,hypoglycaemia
quinidine,iatrogenic hypoglycaemia
quinine,iatrogenic hypoglycaemia
sumatriptan,coronary artery vasospasm
sumatriptan,cardiac arrest
sotalol,bradycardia
tamoxifen,secretory endometrial adenocarcinoma
tamoxifen,low-grade endometrial carcinoma
tamoxifen,uterine neoplasia
tamoxifen,secretory carcinoma of the endometrium
tamoxifen,endometrial adenocarcinoma of the secretory type
omeprazole,esophageal candidiasis
dipyridamole,high-grade atrioventricular block
dipyridamole,high-grade atrioventricular (av) block
doxorubicin,symptomatic cardiac failure
tamoxifen,ovarian endometrioid carcinoma
levamisole,cerebral demyelinating disease
levamisole,multifocal inflammatory leukoencephalopathy
5-fluorouracil,leukoencephalopathy
levamisole,leukoencephalopathy
ethanolamine oleate,noncardiogenic pulmonary edema
eo,noncardiogenic pulmonary edema
gentamicin sulfate,acute renal failure
gentamicin,acute renal failure
gentamicin,renal failure
phenytoin,unilateral gingival hyperplasia
pht,unilateral gingival hyperplasia
aminotriazole,generalized cutaneous sclerosis
bromocil,generalized cutaneous sclerosis
diuron,generalized cutaneous sclerosis
albuterol,cardiac toxicity
albuterol,hypokalemia
salbutamol,hypokalemia
albuterol,hypokalemic
propoxyphene,wide complex dysrhythmia
propoxyphene,wide qrs complex dysrhythmia
mannitol,nephrotoxicity syndrome
mannitol,arf
mannitol,acute renal failure
mannitol,nephrotoxicity
mannitol,anuric arf
fluphenazine decanoate,extrapyramidal side effects
benzodiazepine,sedation
quinapril,irritating cough
quinapril,cough
psl,fracture of the femoral neck
cefuroxime,acute renal failure
cefuroxime,dian
cefuroxime,renal deterioration
phenytoin,basilar invagination
phenytoin,mid-line skeletal abnormalities
phenytoin,craniocervical abnormality
methotrexate,temporary neurologic abnormalities
hd-mtx,altered consciousness
hd-mtx,dysarthria
hd-mtx,hemiparesis
methotrexate,transient neurological disturbances
high-lipase pancreatin,stricture of the hepatic flexure region with associated narrowing
high-lipase pancreatin,submucosal fibrosis of the transverse colon
danazol,acute pancreatitis
danazol,hepatocellular damage
danazol,hypo-oestrogenic and anabolic/androgenic side-effects
acyclovir,neurotoxicity
acyclovir,neurologic symptoms
promethazine,coma
metronidazole,amebic abscess of the spleen
metronidazole,neurotoxicity
metronidazole,ataxia
metronidazole,liver abscess
metronidazole,reversible deafness
metronidazole,splenic abscess
metronidazole,tinnitus
actinomycin d,hepatic veno-occlusive disease
amd,liver failure
phenylpropanolamine,psychosis
ppa,paranoid psychosis
ppa,psychiatric adverse effects
budesonide,contact dermatitis
methyl nitrite,methemoglobinemia
phenylpropanolamine,methemoglobinemia
ifn,iddm
ifn,moderate hyperglycemia
ifn,severe ketonuria
interferon,iddm
nortriptyline,recurrent hypotension
nortriptyline,seizures
methotrexate,accelerate hiv disease
mtx,accelerate hiv disease
5-fu,increase of inr
levamisole,increase of inr
warfarin,increase of inr
5-fu,increase in inr
warfarin,increase in inr
clindamycin,cholestatic liver disease
trimethoprim-sulfamethoxazole,cholestatic liver disease
clindamycin,ductopenia
trimethoprim-sulfamethoxazole,ductopenia
clindamycin,vanishing bile duct syndrome
trimethoprim-sulfamethoxazole,vanishing bile duct syndrome
clindamycin,bile duct injury
clindamycin,bile duct paucity
clindamycin,marked cholestasis
clindamycin,portal inflammation
trimethoprim-sulfamethoxazole,cholestasis
trimethoprim-sulfamethoxazole,duct paucity
ampicillin,cholestasis
ampicillin,cholestatic hepatitis
ampicillin,duct paucity
isoniazid,vision loss
ethambutol,development of visually related side effects
isoniazid,development of visually related side effects
ethambutol,ocular toxicity
ethambutol,toxic optic neuropathy
zidovudine,fetal damage
zidovudine,fetotoxic
zidovudine,teratogenic
zidovudine,fetal abnormality
zidovudine,first trimester abortions
zidovudine,birth defects
celiprolol,pneumonitis
celiprolol,hypersensitivity pneumonitis
ibopamine,leukopenia
ibopamine,reversible leukopenia
diphenylhydantoin,acute intermittent porphyria
diphenylhydantoin,porphyria
bromocriptine,schizophrenia
methotrexate,concurrent acute megaloblastic anaemia
methotrexate,acute megaloblastic anaemia
levemepromazine,respiratory distress syndrome
methotrimeprazine meleate,respiratory distress syndrome
phenothiazine,respiratory distress syndrome
apomorphine,dyskinesias
levo-dopa,diphasic dyskinesias
didanosine,fulminant hepatitis
didanosine,severe lactate acidosis
ddi,fulminant hepatitis
ddi,fulminant hepatic failure
agno3,generalized argyria
fluoxetine,seizures
fluoxetine,headache
carbamazepine,psoriasiform eruptions
sodium valproate,psoriasiform eruptions
carbamazepine,psoriasiform eruption
sodium valproate,psoriasiform eruption
bcnu,severe diffuse interstitial pneumonitis
carmustine,severe diffuse interstitial pneumonitis
bcnu,fatal case of acute interstitial pneumonitis
carmustine,fatal case of acute interstitial pneumonitis
procainamide,shocks
procainamide,electrical proarrhythmia
procainamide,electrophysiologic effect
valproic acid,altered mental status
valproic acid,lethargy
meperidine,central nervous system toxicity
meperidine,accumulation of the parent drug
meperidine,cns depressive effects
meperidine,accumulation of the active metabolite normeperidine
meperidine,central nervous system (cns) excitatory toxicities
morphine,hypertension
morphine,intracerebral hemorrhage
morphine,respiratory failure
morphine,status epilepticus
mitomycin c,hemolytic-uremic syndrome
mmc,hemolytic-uremic syndrome
mmc,hus
mitomycin c,pulmonary hemorrhage
mmc,pulmonary hemorrhage
mmc,massive pulmonary bleeding
clonidine,bradycardia
clonidine,constipation
clonidine,dry mouth
clonidine,hypotension
cotrimoxazole,elevation of serum creatinine and blood urea
cotrimoxazole,hyperkalaemia
cotrimoxazole,increased urinary n-acetyl glucosaminase
cotrimoxazole,one patient became unconscious
co-trimoxazole,hyperkalaemia
sulfamethoxazole-trimethoprim,hyperkalaemia
co-trimoxazole,renal tubular dysfunction
sulfamethoxazole-trimethoprim,renal tubular dysfunction
nitrous oxide,subacute combined degeneration of the spinal cord
nitrous oxide,neurologic degeneration
nitrous oxide,neurologic deterioration
fluoxetine,sexual dysfunction
captopril,bone marrow suppression
captopril,neutropenia
magnesium sulfate,lactogenesis
magnesium sulfate,impeded lactogenesis
goserelin acetate,flare-up
goserelin acetate,severe dyspnea
goserelin acetate,worsening pleuritis carcinomatosa
imidazoline,imidazoline intoxication
l-asparaginase,aphasia
l-asparaginase,cerebrovascular complications
l-asparaginase,neuropsychological deficits
l-asparaginase,cerebral thrombosis
l-asparaginase,coagulation protein deficiencies
l-asparaginase,hemorrhage
l-dopa,myoclonus
l-dopa,seizures
levodopa,myoclonus
levodopa,seizures
l-dopa,generalized seizures
acyclovir,excessive maternal and physician anxiety
lithium,exophthalmos
lithium,thyrotoxic ophthalmopathy
lithium,severe exophthalmos
lithium,thyrotoxicosis
clofazimine,abdominal pain
amphotericin b,fatal
amphotericin b,cardiac arrhythmias
amphotericin b,mortality
amphotericin b,cardiac complications
cyclosporine,hypertension
prednisone,hypertension
sweet spirits of nitre,sudden death
4% ethyl nitrite ch3ch2ono in 70% ethyl alcohol,acute methemoglobinemia
sweet spirits of nitre,acute methemoglobinemia
4% ethyl nitrite ch3ch2ono in 70% ethyl alcohol,died
sweet spirits of nitre,died
4% ethyl nitrite ch3ch2ono in 70% ethyl alcohol,hypoxemia
sweet spirits of nitre,hypoxemia
4% ethyl nitrite ch3ch2ono in 70% ethyl alcohol,severe anoxic metabolic acidosis
sweet spirits of nitre,severe anoxic metabolic acidosis
carnitine,hepatotoxic effects
valproate,hepatotoxic effects
valproic acid,fatal hepatotoxic effects
valproate,fatal
il-2,cognitive dysfunction
interleukin-2,neurotoxicity
il-2,brain injury
il-2,disability
lithium,thyroid dysfunctions
lithium,transient thyrotoxicosis
lithium,toxic and immunomodulatory roles
retinoic acid,fatal complication
retinoic acid,retinoic acid syndrome
foscarnet,electrolyte disorders
foscarnet,severe hypomagnesemia
foscarnet,anxiety
foscarnet,muscle twitches
foscarnet,tremulousness
cph82,interference with the cortisol axis
cph82,hypercortisolism
cph82,suppression of the endogeneous production of acth and cortisol
carbamazepine,movement disorders
cbz,movement disorders
carbamazepine,tics
cbz,tics
cbz,motor tics
cbz,facial motor tics
acyclovir,coma
acyclovir,nonoliguric renal failure
acyclovir,central nervous system side effects
tryptophan,eosinophilia myalgia syndrome
tryptophan,fatal eosinophilia myalgia syndrome
vasopressin,fatal rhabdomyolysis
vasopressin,impaired tissue perfusion
vasopressin,vasodilation
vasopressin,rhabdomyolysis
disulfiram,teratogen
disulfiram,significant abnormalities
penicillamine,pv
glibenclamide,pemphigus vulgaris
glibenclamide,oral lesions of pv
piritrexim,pulmonary toxicity
piritrexim,abnormal chest x-ray with diffuse interstitial opacities
piritrexim,respiratory dysfunction
adenosine,acceleration of the heart rate
adenosine,acceleration of ventricular response
methotrexate,lymphoproliferative diseases
methotrexate,non-hodgkin lymphoma
paracetamol,hepatotoxicity
paracetamol,hepatotoxic effects
paracetamol,fatal
prednisolone,kaposi's sarcoma
pimozide,acute dystonic reaction
pimozide,acute dystonic reactions
thioridazine,acute dystonic reactions
t-pa,atheroembolic acute renal failure
t-pa,cholesterol crystal embolization
t-pa,extrarenal manifestations
tissue-type plasminogen activator,cholesterol crystal embolization
tissue-type plasminogen activator,renal failure
recombinant tissue-type plasminogen activator,cholesterol crystal embolization
recombinant tissue-type plasminogen activator,renal failure
t-pa,renal failure
haloperidol,multiform ventricular tachycardia
gold,mucocutaneous side effects
gold,mucocutaneous reactions
phenol,anterior spinal artery syndrome
phenol-glycerine,anterior spinal artery syndrome
risperidone,feeding gastrostomy
risperidone,worsening parkinsonism
risperidone,encephalopathy
risperidone,worsened motorically
azathioprine,myelosuppression
azathioprine,pancytopenia
nabumetone,interstitial nephritis
nabumetone,edema
hydroxyurea,acute myeloid leukemia
hydroxyurea,al
hydroxyurea,acute leukemia
halofantrine,cardiac effects
halofantrine,sudden death
halofantrine,qt interval was prolonged
halofantrine,prolongation of the qt interval
halfan,cardiac arrests
mefloquine,cardiac arrests
halfan,deaths
mefloquine,deaths
chop,supravenous hyperpigmentation
phenytoin,phenytoin toxicity
phenytoin,blood levels in the toxic range
foscarnet,nephrogenic diabetes insipidus
foscarnet,renal tubular acidosis
foscarnet,polyuria
foscarnet,thirst
tissue plasminogen activator,choroidal hemorrhage
tissue plasminogen activator,hemorrhage
tissue plasminogen activator,hemorrhagic choroidal detachment
tissue plasminogen activator,spontaneous choroidal hemorrhage
methotrexate,accelerated nodulosis
methotrexate,nodules
methotrexate,extraarticular side effect
methotrexate,macrophage activation syndrome
methotrexate,methotrexate toxicity
streptokinase,jaundice
cisplatin,colitis
cisplatin,c. difficile colitis
cisplatin,clostridium difficile colitis
captopril,severe cholestatic jaundice
captopril,pseudocholangitis
captopril,"dermatologic, hematologic, and pulmonary adverse effects"
captopril,atypical cholangitis
captopril,liver damage
macrophage-colony-stimulating factor,nephrotic syndrome
m-csf,nephrotic syndrome
m-csf,renal disease
m-csf,macrophage-related glomerular injury
betamethasone,edema
magnesium sulfate,edema
nifedipine,edema
terbutaline,edema
"1,25(oh)2d",milk-alkali syndrome
calcitriol,milk-alkali syndrome
calcium carbonate,milk-alkali syndrome
ifosfamide,unresponsive
mesna,unresponsive
ifosfamide,central nervous system (cns) toxicity
albendazole,pseudomembranous colitis
metronidazole,pseudomembranous colitis
albendazole,abdominal pain
albendazole,fever
albendazole,worsening diarrhea
aluminum,aluminum intoxication
aluminum,tc
5-fluorouracil,oculomotor disturbances
5-fu,neurotoxicity
5-fu,ocular motor disturbances
5-fluorouracil,cerebellar dysfunction
5-fu,cerebellar dysfunction
insulin,hypoglycaemia
fluticasone propionate,adrenal suppression
fluticasone propionate,growth retardation
fluticasone propionate,growth and adrenal suppression
fluticasone propionate,growth may be retarded
metipranolol,granulomatous anterior uveitis
